char,x,y,width,height,char_idx_in_line,line_idx,page,word
r,1080.0,77,13.0,21,95,0,page_1_practice,consumer
 ,1093.0,77,13.0,21,96,0,page_1_practice,
e,1106.0,77,13.0,21,97,0,page_1_practice,electronics
l,1119.0,77,13.0,21,98,0,page_1_practice,electronics
e,1132.0,77,13.0,21,99,0,page_1_practice,electronics
c,1145.0,77,13.0,21,100,0,page_1_practice,electronics
t,1158.0,77,13.0,21,101,0,page_1_practice,electronics
r,1171.0,77,13.0,21,102,0,page_1_practice,electronics
o,1184.0,77,13.0,21,103,0,page_1_practice,electronics
n,1197.0,77,13.0,21,104,0,page_1_practice,electronics
i,1210.0,77,13.0,21,105,0,page_1_practice,electronics
c,1223.0,77,13.0,21,106,0,page_1_practice,electronics
s,1236.0,77,13.0,21,107,0,page_1_practice,electronics
 ,1249.0,77,13.0,21,108,0,page_1_practice,
a,1262.0,77,13.0,21,109,0,page_1_practice,as
s,1275.0,77,13.0,21,110,0,page_1_practice,as
 ,1288.0,77,13.0,21,111,0,page_1_practice,
w,1301.0,77,13.0,21,112,0,page_1_practice,well
e,1314.0,77,13.0,21,113,0,page_1_practice,well
l,1327.0,77,13.0,21,114,0,page_1_practice,well
l,1340.0,77,13.0,21,115,0,page_1_practice,well
 ,1353.0,77,13.0,21,116,0,page_1_practice,
a,1366.0,77,13.0,21,117,0,page_1_practice,as
s,1379.0,77,13.0,21,118,0,page_1_practice,as
 ,1392.0,77,13.0,21,119,0,page_1_practice,
t,1405.0,77,13.0,21,120,0,page_1_practice,the
h,1418.0,77,13.0,21,121,0,page_1_practice,the
e,1431.0,77,13.0,21,122,0,page_1_practice,the
 ,1444.0,77,13.0,21,123,0,page_1_practice,
l,1457.0,77,13.0,21,124,0,page_1_practice,latest
a,1470.0,77,13.0,21,125,0,page_1_practice,latest
t,1483.0,77,13.0,21,126,0,page_1_practice,latest
e,1496.0,77,13.0,21,127,0,page_1_practice,latest
s,1509.0,77,13.0,21,128,0,page_1_practice,latest
t,1522.0,77,13.0,21,129,0,page_1_practice,latest
n,-155.0,150,13.0,17,0,2,page_1_practice,news
e,-142.0,150,13.0,17,1,2,page_1_practice,news
w,-129.0,150,13.0,17,2,2,page_1_practice,news
s,-116.0,150,13.0,17,3,2,page_1_practice,news
 ,-103.0,150,13.0,17,4,2,page_1_practice,
i,-90.0,150,13.0,17,5,2,page_1_practice,in
